fullname,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Luxury 2 bedroom apartment,4621559,Kenneth,THIRD WARD,42.65789,-73.7537,entire home/apt,70.0,9,2022-08-17,0.07,1,70,0
Restored Precinct in Center Sq. w/Parking,19648678,Terra,SIXTH WARD,42.65222,-73.76724,entire home/apt,100.0,308,2025-03-29,2.34,4,335,6
Large studio apt  by Capital Center & ESP@,29288920,Gregg,SECOND WARD,42.64615,-73.75966,entire home/apt,75.0,371,2025-02-16,3.02,2,15,24
"Studio in The heart of Center SQ, in Albany NY",17766924,Sugey,SIXTH WARD,42.65559,-73.76506,entire home/apt,86.0,620,2025-05-08,5.76,1,128,29
Alb hospital area studio bath wifi. (Red),5691268,Elizabeth,FOURTEENTH WARD,42.66078,-73.80553,private room,54.0,792,2025-05-21,6.96,2,153,133
/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,4259750,Peter,FIFTEENTH WARD,42.67567,-73.82438,entire home/apt,264.0,188,2025-05-18,1.71,8,326,30
$55twin($30 foreign student)FreeBF Noa/c no smoke,61700428,Abdullah,ELEVENTH WARD,42.67583,-73.78297,private room,55.0,231,2024-02-29,2.1,2,365,0
Private Room in the Hearth of the Albany,69729286,Musab,SIXTH WARD,42.65154,-73.76867,private room,47.0,28,2024-02-06,0.48,2,344,0
Pristine Cape Cod on the Creek - 4 Large Bedrooms,1364123,Akhilesh,FIFTEENTH WARD,42.66972,-73.82753,entire home/apt,219.0,189,2025-05-10,1.74,1,306,12
Alb Medical/Dtwn Albany/Colleges ROOM H,89705052,Share,NINTH WARD,42.65651,-73.77887,private room,52.0,48,2025-02-27,0.49,2,115,8
Charming 1 Bedroom in a Historic Residential Home,15223767,Ed,NINTH WARD,42.65312,-73.78161,private room,70.0,82,2024-09-17,1.01,3,254,11
The Honey Comb hideout,140060931,McKinley,FOURTH WARD,42.668842904707454,-73.74151370795786,entire home/apt,214.0,0,2025-05-18,1.255,1,88,0
8 year SuperHost 5Bedroom In Albany,67171774,Michael And Flerida,FOURTEENTH WARD,42.65846,-73.80201,entire home/apt,290.0,115,2025-06-03,1.25,1,331,18
"Garden Apartment, on the Park, close to Capital.",65414985,James,SEVENTH WARD,42.64939,-73.76865,entire home/apt,116.0,131,2024-05-12,1.49,2,341,0
The Metropolitan,98744672,Bela,NINTH WARD,42.65532,-73.78244,entire home/apt,68.0,48,2025-05-19,0.51,8,266,7
Cozy bedroom with (2) walk-in closets,135717458,Chad,THIRTEENTH WARD,42.66565,-73.77975,private room,36.0,46,2025-05-19,0.54,3,341,6
"NEW LISTING! Modern, completely updated, LOCATION!",152762198,Allen,TENTH WARD,42.66045,-73.77833,entire home/apt,67.0,181,2025-05-25,1.97,9,341,14
One Bedroom apartment with private entrance,156446839,Domini,FOURTEENTH WARD,42.65975,-73.81196,private room,68.0,122,2024-09-07,1.4,1,32,1
Quiet and Pretty in the Heart of Center Square,9666970,Janet,SIXTH WARD,42.65345,-73.7645,entire home/apt,72.0,928,2025-05-24,10.88,1,134,110
City Feel - Green Room,31757246,Leiba,SIXTH WARD,42.65333,-73.77293,private room,93.0,14,2024-12-01,0.17,1,353,2
Garden Apartment in Ctr. Square: Monthly Discounts,6833937,Farah,SIXTH WARD,42.65403,-73.76325,entire home/apt,80.0,142,2025-06-07,1.7,1,327,30
Albany Cozy home with fireplaces and Sunroom,202580880,Rosanne,EIGHTH WARD,42.64514,-73.80668,entire home/apt,302.0,14,2022-10-08,0.17,1,188,0
Private room in historic building on the park,54394342,Alice,SIXTH WARD,42.65821,-73.76917,private room,75.0,92,2025-03-13,1.13,1,352,28
âHistoric Loft Suite @ Downtown Albany,44434571,Earl,SECOND WARD,42.64535,-73.75365,entire home/apt,81.0,691,2025-05-26,8.68,9,336,55
"Spacious
private suite and private bath",194113768,Rachel,FOURTH WARD,42.6737,-73.75313,private room,70.0,7,2024-06-09,0.09,1,134,1
Nest in Hazel,160340958,Jon,FIFTEENTH WARD,42.67519,-73.82281,private room,47.0,32,2025-05-27,0.41,1,237,5
"Cosy, comfy and quiet for one",172223381,Diana,EIGHTH WARD,42.64936,-73.80278,private room,93.0,213,2025-05-18,2.78,2,0,12
Moroccan Sands,97330032,Sherrell,FOURTH WARD,42.6761,-73.73825,private room,104.0,1,2024-10-28,0.13,1,269,1
Muhammed Ali Lounge & Pool Hall â¬¢â¬¡,232967878,Diana,SECOND WARD,42.64335,-73.7579,entire home/apt,118.0,318,2025-05-25,4.35,22,28,45
